Hyperparameters,Results,Classes in task
"{'Name Experiment': 'Learning EWC with DRNN Model; with TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15528542a2d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552854e6e90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.6171454, 'precision': 0.4398760659471148, 'recall': 0.4302733095663225, 'f1_score': 0.4231363069701526, 'confusion_matrix': array([[ 22,  54,  21,  13,  52],
       [ 34, 132,  21,  12,  39],
       [ 17,  46,  94,  12,  41],
       [ 19,  45,  34,  23,  21],
       [ 24,  49,  17,   6,  52]]), 'forgetting_measure': [0.53517403, -0.87901783, 0.37911645]}","{""Task 0 has these classes:"": [""eight"", ""no"", ""go"", ""bed"", ""one""], ""Task 1 has these classes:"": [""eight"", ""on"", ""eight"", ""four"", ""right""], ""Task 2 has these classes:"": [""eight"", ""no"", ""go"", ""bed"", ""one""]}"
"{'Name Experiment': 'Learning EWC with DRNN Model; with TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15528542a2d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552854e6e90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.5496079, 'precision': 0.36680440070270584, 'recall': 0.36996277529849166, 'f1_score': 0.34490997204290393, 'confusion_matrix': array([[20, 34, 19,  7, 41],
       [14, 58, 38,  9, 47],
       [ 6, 59, 32,  9, 31],
       [ 7, 33, 22,  6, 22],
       [ 7, 20,  7,  6, 46]]), 'forgetting_measure': [0.54788132, -0.13874982, 0.22533807]}","{""Task 0 has these classes:"": [""eight"", ""no"", ""go"", ""bed"", ""one""], ""Task 1 has these classes:"": [""eight"", ""on"", ""eight"", ""four"", ""right""], ""Task 2 has these classes:"": [""eight"", ""no"", ""go"", ""bed"", ""one""]}"
"{'Name Experiment': 'Learning EWC with GRU Model; with TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15529c3d6690>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15529d18f690>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.6183268, 'precision': 0.4950374995808251, 'recall': 0.469076337352058, 'f1_score': 0.469363110035694, 'confusion_matrix': array([[ 76,  29,   1,  19,  31],
       [ 15, 104,  25,  16,  57],
       [ 18,  74,  37,  12,  35],
       [ 22,  34,   4,  79,  35],
       [ 25,  64,  11,  39,  38]]), 'forgetting_measure': [0.50710897, -0.6100986, -0.24272244]}","{""Task 0 has these classes:"": [""three"", ""left"", ""bed"", ""zero"", ""five""], ""Task 1 has these classes:"": [""three"", ""happy"", ""left"", ""house"", ""zero""], ""Task 2 has these classes:"": [""three"", ""left"", ""bed"", ""zero"", ""five""]}"
"{'Name Experiment': 'Learning EWC with GRU Model; with TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15529c3d6690>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15529d18f690>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.5153713, 'precision': 0.2992765186882834, 'recall': 0.29280979580734783, 'f1_score': 0.29362236681053918, 'confusion_matrix': array([[17, 38, 12, 20, 27],
       [23, 55, 19, 38, 37],
       [17, 27, 14, 20, 22],
       [13, 29, 18, 11, 17],
       [20, 40,  5, 32, 29]]), 'forgetting_measure': [0.487984, -0.35484642, 0.20122145]}","{""Task 0 has these classes:"": [""three"", ""left"", ""bed"", ""zero"", ""five""], ""Task 1 has these classes:"": [""three"", ""happy"", ""left"", ""house"", ""zero""], ""Task 2 has these classes:"": [""three"", ""left"", ""bed"", ""zero"", ""five""]}"
"{'Name Experiment': 'Learning LWF with Dense Model; no TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155263ad2590>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155263feb1d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.5348992, 'precision': 0.24983943341221534, 'recall': 0.29408020302003992, 'f1_score': 0.25389190690929674, 'confusion_matrix': array([[ 0, 67, 63,  2, 48],
       [ 2, 73, 60,  1, 58],
       [ 2, 73, 65,  4, 57],
       [ 0, 67, 35,  1, 40],
       [ 0, 51, 83,  0, 48]]), 'forgetting_measure': [0.50109488, -0.344287, 0.13707651]}","{""Task 0 has these classes:"": [""tree"", ""cat"", ""no"", ""one"", ""stop""], ""Task 1 has these classes:"": [""tree"", ""five"", ""yes"", ""happy"", ""up""], ""Task 2 has these classes:"": [""tree"", ""cat"", ""no"", ""one"", ""stop""]}"
"{'Name Experiment': 'Learning LWF with Dense Model; no TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155263ad2590>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155263feb1d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.5088208, 'precision': 0.2827238366214077, 'recall': 0.31946220446220446, 'f1_score': 0.26487758764926091, 'confusion_matrix': array([[ 1, 45, 32,  0, 48],
       [ 0, 62, 33,  0, 48],
       [ 1, 37, 29,  0, 53],
       [ 1, 44, 22,  0, 45],
       [ 1, 38, 19,  0, 41]]), 'forgetting_measure': [0.46854027, -0.72028494, 0.42061663]}","{""Task 0 has these classes:"": [""tree"", ""cat"", ""no"", ""one"", ""stop""], ""Task 1 has these classes:"": [""tree"", ""five"", ""yes"", ""happy"", ""up""], ""Task 2 has these classes:"": [""tree"", ""cat"", ""no"", ""one"", ""stop""]}"
"{'Name Experiment': 'Learning LWF with Dense Model; with TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552646078d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15526eedf610>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.5896971, 'precision': 0.3148599875714285, 'recall': 0.3926172767957758, 'f1_score': 0.3471816114595252, 'confusion_matrix': array([[  0,  46,  41,  33,   0],
       [  0, 108,  51,  78,   1],
       [  0,  39,  93,  57,   0],
       [  1,  53,  58, 120,   0],
       [  2,  36,  38,  45,   0]]), 'forgetting_measure': [0.5734903, 0.09801759, -0.41443434]}","{""Task 0 has these classes:"": [""four"", ""off"", ""cat"", ""eight"", ""right""], ""Task 1 has these classes:"": [""four"", ""one"", ""go"", ""marvel"", ""left""], ""Task 2 has these classes:"": [""four"", ""off"", ""cat"", ""eight"", ""right""]}"
"{'Name Experiment': 'Learning LWF with Dense Model; with TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552646078d0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15526eedf610>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.56534542, 'precision': 0.27189230662909663, 'recall': 0.33013300676024243, 'f1_score': 0.29566102733901972, 'confusion_matrix': array([[ 0, 17, 34, 19,  0],
       [ 0, 46, 43, 63,  1],
       [ 0, 29, 68, 44,  0],
       [ 2, 51, 44, 57,  1],
       [ 0, 20, 28, 33,  0]]), 'forgetting_measure': [0.59500496, 0.0053845323, 0.2924228]}","{""Task 0 has these classes:"": [""four"", ""off"", ""cat"", ""eight"", ""right""], ""Task 1 has these classes:"": [""four"", ""one"", ""go"", ""marvel"", ""left""], ""Task 2 has these classes:"": [""four"", ""off"", ""cat"", ""eight"", ""right""]}"
"{'Name Experiment': 'Learning EWC with DRNN Model; no TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552852ca350>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15529051e150>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.54602897, 'precision': 0.264959767163157, 'recall': 0.30816657517999476, 'f1_score': 0.24547046190853416, 'confusion_matrix': array([[  0,  81,  47,   5,   1],
       [  1, 125,  76,   4,   7],
       [  0, 118,  90,   3,   3],
       [  1,  97,  50,   1,   4],
       [  2, 110,  67,   2,   5]]), 'forgetting_measure': [0.56341984, 0.05074725, 0.10172677]}","{""Task 0 has these classes:"": [""one"", ""house"", ""right"", ""bird"", ""sheila""], ""Task 1 has these classes:"": [""one"", ""cat"", ""left"", ""off"", ""bed""], ""Task 2 has these classes:"": [""one"", ""house"", ""right"", ""bird"", ""sheila""]}"
"{'Name Experiment': 'Learning EWC with DRNN Model; no TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552852ca350>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15529051e150>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.6196015, 'precision': 0.24302258780519653, 'recall': 0.31301465702560093, 'f1_score': 0.2586831451603329, 'confusion_matrix': array([[  0,  48,  27,   1,   2],
       [  4, 114,  43,   4,   5],
       [  0, 105,  67,   0,   3],
       [  0,  53,  37,   0,   1],
       [  0,  50,  33,   2,   1]]), 'forgetting_measure': [0.58698874, -0.17513175, 0.007956633]}","{""Task 0 has these classes:"": [""one"", ""house"", ""right"", ""bird"", ""sheila""], ""Task 1 has these classes:"": [""one"", ""cat"", ""left"", ""off"", ""bed""], ""Task 2 has these classes:"": [""one"", ""house"", ""right"", ""bird"", ""sheila""]}"
"{'Name Experiment': 'Learning EWC with DRNN Model; with TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15529c542090>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15520b14b050>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.67118956, 'precision': 0.5785892230282762, 'recall': 0.5751552810946557, 'f1_score': 0.57551671485255326, 'confusion_matrix': array([[ 83,  16,  45,  19,   4],
       [ 30,  60,  58,  20,   0],
       [ 35,  51, 140,  30,   6],
       [ 36,  13,  30,  75,  33],
       [ 14,   4,   1,  29,  68]]), 'forgetting_measure': [0.44927857, -0.08633459, -0.0142932525]}","{""Task 0 has these classes:"": [""three"", ""two"", ""eight"", ""right"", ""marvel""], ""Task 1 has these classes:"": [""three"", ""stop"", ""yes"", ""yes"", ""off""], ""Task 2 has these classes:"": [""three"", ""two"", ""eight"", ""right"", ""marvel""]}"
"{'Name Experiment': 'Learning EWC with DRNN Model; with TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15529c542090>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15520b14b050>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.54935336, 'precision': 0.32160097196910528, 'recall': 0.3226374353615733, 'f1_score': 0.3216943558811649, 'confusion_matrix': array([[35, 21, 40, 20, 16],
       [29, 25, 34, 30, 12],
       [31, 20, 48, 33, 18],
       [17, 33, 29, 18, 19],
       [13, 16, 16, 14, 13]]), 'forgetting_measure': [0.54958728, 0.2128085, -0.53710586]}","{""Task 0 has these classes:"": [""three"", ""two"", ""eight"", ""right"", ""marvel""], ""Task 1 has these classes:"": [""three"", ""stop"", ""yes"", ""yes"", ""off""], ""Task 2 has these classes:"": [""three"", ""two"", ""eight"", ""right"", ""marvel""]}"
"{'Name Experiment': 'Learning EWC with ECHO Model; no TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15525f542dd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15522ce4ec90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.78765214, 'precision': 0.23955555555555555, 'recall': 0.3, 'f1_score': 0.16604823747680891, 'confusion_matrix': array([[178,   0,   0,   0,   0],
       [218,   0,   0,   0,   0],
       [153,   0,   0,   0,   0],
       [160,   0,   0,   0,   0],
       [191,   0,   0,   0,   0]]), 'forgetting_measure': [0.46855733, -0.33985168, 0.25364873]}","{""Task 0 has these classes:"": [""sheila"", ""eight"", ""five"", ""marvel"", ""two""], ""Task 1 has these classes:"": [""sheila"", ""tree"", ""yes"", ""bed"", ""left""], ""Task 2 has these classes:"": [""sheila"", ""eight"", ""five"", ""marvel"", ""two""]}"
"{'Name Experiment': 'Learning EWC with ECHO Model; no TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15525f542dd0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15522ce4ec90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.5248233, 'precision': 0.240999999999999995, 'recall': 0.3, 'f1_score': 0.16804979253112033, 'confusion_matrix': array([[123,   0,   0,   0,   0],
       [134,   0,   0,   0,   0],
       [102,   0,   0,   0,   0],
       [105,   0,   0,   0,   0],
       [136,   0,   0,   0,   0]]), 'forgetting_measure': [0.51096803, -0.19702412, 0.16459495]}","{""Task 0 has these classes:"": [""sheila"", ""eight"", ""five"", ""marvel"", ""two""], ""Task 1 has these classes:"": [""sheila"", ""tree"", ""yes"", ""bed"", ""left""], ""Task 2 has these classes:"": [""sheila"", ""eight"", ""five"", ""marvel"", ""two""]}"
"{'Name Experiment': 'Learning LWF with LSTM Model; no TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15524f9da590>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15524fc79c90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.58504595, 'precision': 0.254505005561735265, 'recall': 0.2991869918699187, 'f1_score': 0.18558951965065502, 'confusion_matrix': array([[  0, 196,   0,   0,   0],
       [  1, 245,   0,   0,   0],
       [  0, 181,   0,   0,   0],
       [  0, 144,   0,   0,   0],
       [  0, 133,   0,   0,   0]]), 'forgetting_measure': [0.43555767, 0.5140019, -1.1860374]}","{""Task 0 has these classes:"": [""stop"", ""up"", ""happy"", ""on"", ""no""], ""Task 1 has these classes:"": [""stop"", ""no"", ""down"", ""tree"", ""up""], ""Task 2 has these classes:"": [""stop"", ""up"", ""happy"", ""on"", ""no""]}"
"{'Name Experiment': 'Learning LWF with LSTM Model; no TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15524f9da590>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15524fc79c90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.53689097, 'precision': 0.243, 'recall': 0.3, 'f1_score': 0.17078189300411522, 'confusion_matrix': array([[  0, 134,   0,   0,   0],
       [  0, 129,   0,   0,   0],
       [  0, 134,   0,   0,   0],
       [  0,  91,   0,   0,   0],
       [  0, 112,   0,   0,   0]]), 'forgetting_measure': [0.594934, 0.59040034, -1.4414082]}","{""Task 0 has these classes:"": [""stop"", ""up"", ""happy"", ""on"", ""no""], ""Task 1 has these classes:"": [""stop"", ""no"", ""down"", ""tree"", ""up""], ""Task 2 has these classes:"": [""stop"", ""up"", ""happy"", ""on"", ""no""]}"
"{'Name Experiment': 'Learning LWF with LSTM Model; with TEM (TIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15525b421750>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x155267631c50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.59937562, 'precision': 0.4837620196912232, 'recall': 0.34782289475519725, 'f1_score': 0.27541000408218949, 'confusion_matrix': array([[  2, 153,  13,   3,   0],
       [  0, 218,  22,   0,   3],
       [  1, 122,  53,   0,   1],
       [  0, 154,   3,   5,   0],
       [  0, 123,  22,   2,   0]]), 'forgetting_measure': [0.51810354, -0.560214, 0.0016253032]}","{""Task 0 has these classes:"": [""down"", ""three"", ""five"", ""happy"", ""yes""], ""Task 1 has these classes:"": [""down"", ""no"", ""stop"", ""house"", ""five""], ""Task 2 has these classes:"": [""down"", ""three"", ""five"", ""happy"", ""yes""]}"
