Hyperparameters,Results,Additional classes
"{'Name Experiment': 'Learning REPLAY with GRU Model; with TEM (CIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552aeb61a50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552ad7c0f90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.46007053, 'precision': 0.29590660058075612, 'recall': 0.27822594066767355, 'f1_score': 0.27582868029998355, 'confusion_matrix': array([[ 10,  61,  16,   2,   4,   2,   2],
       [ 16, 125,  45,  12,   9,   4,   1],
       [ 18,  65,  29,   6,   4,   4,   3],
       [  4,  25,  11,   4,   4,   3,   3],
       [  6,  17,  10,   1,   4,   3,   0],
       [  7,   8,   9,   0,   1,   3,   0],
       [  6,  13,   9,   1,   1,   7,   2]]), 'forgetting_measure': [0.46326173, 0.46336332, -0.13886775]}","{""Task 0 had these additional classes included:"": [""on"", ""one"", ""right""], ""Task 1 had these additional classes included:"": [""seven"", ""sheila""], ""Task 2 had these additional classes included:"": [""six"", ""stop""]}"
"{'Name Experiment': 'Learning EWC with Dense Model; with TEM (CIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e6031e90>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e8849d10>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.45786647, 'precision': 0.26520788411409412, 'recall': 0.23889872509815002, 'f1_score': 0.22896901722675538, 'confusion_matrix': array([[ 42,  43, 112,   6,   6,   1,   9,   0],
       [ 35,  37, 133,   2,   1,   1,   4,   0],
       [ 37,  39, 134,  10,   3,   4,   4,   0],
       [  6,  12,  43,   4,   0,   0,   2,   1],
       [  7,  13,  43,   0,   3,   0,   3,   0],
       [  4,   1,  37,   1,   7,   1,   5,   0],
       [  7,   0,  31,   0,   4,   0,   2,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0]]), 'forgetting_measure': [0.47347543, 0.501973, -0.15119441]}","{""Task 0 had these additional classes included:"": [""right"", ""seven"", ""sheila""], ""Task 1 had these additional classes included:"": [""six"", ""stop""], ""Task 2 had these additional classes included:"": [""three"", ""tree""]}"
"{'Name Experiment': 'Learning EWC with Dense Model; with TEM (CIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e6031e90>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e8849d10>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.43601003, 'precision': 0.27660722938223872, 'recall': 0.27043564777037176, 'f1_score': 0.25514127345283288, 'confusion_matrix': array([[29, 24, 71,  1,  3,  2,  2],
       [24, 37, 86,  5,  2,  1,  9],
       [30, 21, 87,  1,  3,  1,  5],
       [ 0, 13, 39,  1,  3,  0,  1],
       [ 0,  8, 20,  2,  1,  0,  1],
       [ 1,  1, 23,  0,  1,  0,  5],
       [ 8,  0, 23,  1,  0,  0,  4]]), 'forgetting_measure': [0.3858105, 0.118457586, 0.32422]}","{""Task 0 had these additional classes included:"": [""right"", ""seven"", ""sheila""], ""Task 1 had these additional classes included:"": [""six"", ""stop""], ""Task 2 had these additional classes included:"": [""three"", ""tree""]}"
"{'Name Experiment': 'Learning EWC with LSTM Model; no TEM (CIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e6833f10>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e6831850>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.42410427, 'precision': 0.24724967692461427, 'recall': 0.25945836000781613, 'f1_score': 0.23919165364505112, 'confusion_matrix': array([[ 26,  76,  97,   2,   0,  11,   0],
       [ 29,  65, 116,   0,   0,   8,   0],
       [ 29,  78, 124,   1,   0,   5,   0],
       [  5,  19,  54,   1,   0,   3,   0],
       [  0,  18,  32,   0,   0,   1,   0],
       [  8,   8,  22,   4,   0,   8,   0],
       [  7,   5,  28,   3,   0,   7,   0]]), 'forgetting_measure': [0.4011766, 0.29378733, 0.2550755]}","{""Task 0 had these additional classes included:"": [""right"", ""seven"", ""sheila""], ""Task 1 had these additional classes included:"": [""six"", ""stop""], ""Task 2 had these additional classes included:"": [""three"", ""tree""]}"
"{'Name Experiment': 'Learning EWC with LSTM Model; no TEM (CIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e6833f10>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e6831850>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.43053554, 'precision': 0.23991144625002197, 'recall': 0.28194802287386688, 'f1_score': 0.24765790422129116, 'confusion_matrix': array([[24, 38, 76,  3,  0, 12,  0],
       [33, 38, 82,  4,  0,  5,  0],
       [24, 28, 73,  2,  0,  6,  0],
       [ 1, 10, 30,  0,  0,  2,  0],
       [ 4,  9, 25,  1,  0,  3,  0],
       [ 3,  0, 14,  1,  0,  9,  0],
       [14,  0, 20,  0,  0,  6,  0]]), 'forgetting_measure': [0.4013547, 0.31392136, 0.11247289]}","{""Task 0 had these additional classes included:"": [""right"", ""seven"", ""sheila""], ""Task 1 had these additional classes included:"": [""six"", ""stop""], ""Task 2 had these additional classes included:"": [""three"", ""tree""]}"
"{'Name Experiment': 'Learning REPLAY with DRNN Model; with TEM (CIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15529532aed0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552a142a550>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.52985103, 'precision': 0.29513392821769246, 'recall': 0.2868391227770546, 'f1_score': 0.2866073693622595, 'confusion_matrix': array([[152,  35,  47,   9,   7,  24,  10,   2,   0],
       [ 36,  66,  67,  14,   3,  13,   6,   2,   0],
       [ 42,  32,  61,   7,   4,  16,   9,   1,   0],
       [ 18,  10,  28,   9,   5,   7,  15,   0,   0],
       [  5,   4,  16,  10,   3,   1,   4,   0,   0],
       [ 12,   2,  10,   3,   6,   5,   0,   0,   0],
       [  5,   7,  16,   5,   2,  13,  11,   2,   1],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0],
       [  0,   0,   0,   0,   0,   0,   0,   0,   0]]), 'forgetting_measure': [0.6125443, 0.5838296, -0.23626813]}","{""Task 0 had these additional classes included:"": [""left"", ""marvel"", ""nine""], ""Task 1 had these additional classes included:"": [""no"", ""off""], ""Task 2 had these additional classes included:"": [""on"", ""one""]}"
"{'Name Experiment': 'Learning REPLAY with DRNN Model; with TEM (CIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15529532aed0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552a142a550>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.41821389, 'precision': 0.25040646624476392, 'recall': 0.2343097182482443, 'f1_score': 0.23685073226025524, 'confusion_matrix': array([[64, 24, 39, 12,  2, 14, 10,  1,  0],
       [51, 19, 33, 11,  3,  9,  3,  1,  0],
       [47, 28, 38,  5,  5, 10,  6,  3,  0],
       [ 5,  4, 24,  5,  0,  6,  4,  0,  0],
       [11,  2, 13,  4,  4,  6,  7,  0,  0],
       [ 3,  3,  7,  1,  2,  1,  1,  1,  1],
       [13,  3,  9,  1,  3, 10,  8,  0,  0],
       [ 0,  0,  0,  0,  0,  0,  0,  0,  0],
       [ 0,  0,  0,  0,  0,  0,  0,  0,  0]]), 'forgetting_measure': [0.43430967, 0.48121858, 0.15299974]}","{""Task 0 had these additional classes included:"": [""left"", ""marvel"", ""nine""], ""Task 1 had these additional classes included:"": [""no"", ""off""], ""Task 2 had these additional classes included:"": [""on"", ""one""]}"
"{'Name Experiment': 'Learning REPLAY with DRNN Model; no TEM (CIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155299216a50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15529d064c10>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.45380734, 'precision': 0.27897123793957226, 'recall': 0.26768592922116632, 'f1_score': 0.26364349333906805, 'confusion_matrix': array([[108,  79,  58,  16,   0,   3,  15],
       [ 81,  67,  38,   7,   0,   1,  13],
       [ 63,  48,  40,   7,   1,   3,   9],
       [ 40,  27,  25,   5,   0,   0,   7],
       [ 16,  10,   9,   1,   0,   0,   3],
       [ 22,   3,   2,   1,   0,   2,   7],
       [ 43,   7,   1,   3,   0,   1,   8]]), 'forgetting_measure': [0.45787913, 0.38381043, 0.1700511]}","{""Task 0 had these additional classes included:"": [""left"", ""marvel"", ""nine""], ""Task 1 had these additional classes included:"": [""no"", ""off""], ""Task 2 had these additional classes included:"": [""on"", ""one""]}"
"{'Name Experiment': 'Learning REPLAY with DRNN Model; no TEM (CIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x155299216a50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15529d064c10>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.44157833, 'precision': 0.2627795834931373, 'recall': 0.26718613099433952, 'f1_score': 0.25664622265084155, 'confusion_matrix': array([[80, 47, 28,  5,  0,  0, 10],
       [52, 42, 31,  5,  0,  0, 10],
       [59, 44, 24,  2,  0,  0,  6],
       [18, 20, 14,  3,  0,  0,  3],
       [ 8, 12,  7,  1,  0,  0,  2],
       [14,  1,  0,  1,  0,  0,  4],
       [32,  6,  1,  0,  0,  0,  8]]), 'forgetting_measure': [0.36653224, 0.049929567, 0.19052711]}","{""Task 0 had these additional classes included:"": [""left"", ""marvel"", ""nine""], ""Task 1 had these additional classes included:"": [""no"", ""off""], ""Task 2 had these additional classes included:"": [""on"", ""one""]}"
"{'Name Experiment': 'Learning REPLAY with ECHO Model; no TEM (CIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15529389aed0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552943cb290>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.42382358, 'precision': 0.133174603174603176, 'recall': 0.24285714285714285, 'f1_score': 0.15384516295246684, 'confusion_matrix': array([[209,   0,   0,   0,   0,   0,   0],
       [196,   0,   0,   0,   0,   0,   0],
       [260,   0,   0,   0,   0,   0,   0],
       [ 66,   0,   0,   0,   0,   0,   0],
       [ 69,   0,   0,   0,   0,   0,   0],
       [ 49,   0,   0,   0,   0,   0,   0],
       [ 51,   0,   0,   0,   0,   0,   0]]), 'forgetting_measure': [0.39670545, 0.3246598, 0.12970005]}","{""Task 0 had these additional classes included:"": [""sheila"", ""six"", ""stop""], ""Task 1 had these additional classes included:"": [""three"", ""tree""], ""Task 2 had these additional classes included:"": [""two"", ""up""]}"
"{'Name Experiment': 'Learning REPLAY with ECHO Model; no TEM (CIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15529389aed0>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552943cb290>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.47091768, 'precision': 0.134761904761904765, 'recall': 0.24285714285714285, 'f1_score': 0.15591727307545002, 'confusion_matrix': array([[146,   0,   0,   0,   0,   0,   0],
       [127,   0,   0,   0,   0,   0,   0],
       [171,   0,   0,   0,   0,   0,   0],
       [ 40,   0,   0,   0,   0,   0,   0],
       [ 49,   0,   0,   0,   0,   0,   0],
       [ 32,   0,   0,   0,   0,   0,   0],
       [ 35,   0,   0,   0,   0,   0,   0]]), 'forgetting_measure': [0.42776496, 0.17213236, 0.2126581]}","{""Task 0 had these additional classes included:"": [""sheila"", ""six"", ""stop""], ""Task 1 had these additional classes included:"": [""three"", ""tree""], ""Task 2 had these additional classes included:"": [""two"", ""up""]}"
"{'Name Experiment': 'Learning EWC with LSTM Model; with TEM (CIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552cfcd6610>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d05f9d90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.47329287, 'precision': 0.21777614271515056, 'recall': 0.25303549865162291, 'f1_score': 0.21714208317051947, 'confusion_matrix': array([[  5,  93,  54,   1,   0,   0,   0],
       [  5, 186,  86,   0,   0,   0,   0],
       [  1, 149,  87,   0,   0,   0,   0],
       [  3,  52,  22,   0,   0,   0,   0],
       [  0,  48,   8,   0,   0,   0,   0],
       [  8,  29,  12,   0,   0,   0,   0],
       [  3,  38,  10,   0,   0,   0,   0]]), 'forgetting_measure': [0.42846528, 0.24674208, 0.0138420155]}","{""Task 0 had these additional classes included:"": [""off"", ""on"", ""one""], ""Task 1 had these additional classes included:"": [""right"", ""seven""], ""Task 2 had these additional classes included:"": [""sheila"", ""six""]}"
"{'Name Experiment': 'Learning EWC with LSTM Model; with TEM (CIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552cfcd6610>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d05f9d90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.46220468, 'precision': 0.20815746753246754, 'recall': 0.2505078242815759, 'f1_score': 0.21280610163281958, 'confusion_matrix': array([[  3,  63,  42,   0,   0,   0,   0],
       [  6, 122,  58,   0,   0,   0,   0],
       [  2,  90,  54,   0,   0,   0,   0],
       [  1,  38,  13,   0,   0,   0,   0],
       [  2,  25,  14,   0,   0,   0,   0],
       [  1,  19,   9,   0,   0,   0,   0],
       [  3,  27,   8,   0,   0,   0,   0]]), 'forgetting_measure': [0.44515476, 0.11552771, 0.55391914]}","{""Task 0 had these additional classes included:"": [""off"", ""on"", ""one""], ""Task 1 had these additional classes included:"": [""right"", ""seven""], ""Task 2 had these additional classes included:"": [""sheila"", ""six""]}"
"{'Name Experiment': 'Learning EWC with GRU Model; no TEM (CIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552be496f10>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552cafd2f90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.46609743, 'precision': 0.20542153636213043, 'recall': 0.24012961116650052, 'f1_score': 0.21395180497828424, 'confusion_matrix': array([[ 73, 129,  34,   0,   0,   0,   0],
       [ 87, 141,  27,   0,   0,   0,   0],
       [ 59,  97,  21,   0,   0,   0,   0],
       [ 37,  16,   5,   0,   0,   0,   0],
       [ 30,  32,  12,   0,   0,   0,   0],
       [  4,  37,   0,   0,   0,   0,   0],
       [  6,  53,   0,   0,   0,   0,   0]]), 'forgetting_measure': [0.45319656, 0.41175985, -0.14230946]}","{""Task 0 had these additional classes included:"": [""six"", ""stop"", ""three""], ""Task 1 had these additional classes included:"": [""tree"", ""two""], ""Task 2 had these additional classes included:"": [""up"", ""wow""]}"
"{'Name Experiment': 'Learning EWC with GRU Model; no TEM (CIL) with 500 chunks', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552be496f10>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552cafd2f90>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 500, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 3, 'Class Incremental Case': (True, 0.35, 75, (True, 0.9), (60, 0.02), 0.4, 3), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.45369132, 'precision': 0.21299728495016989, 'recall': 0.24175656194564976, 'f1_score': 0.2116796552042992, 'confusion_matrix': array([[51, 67, 15,  0,  0,  0,  0],
       [61, 83, 20,  0,  0,  0,  0],
       [49, 82, 15,  0,  0,  0,  0],
       [14, 18,  0,  0,  0,  0,  0],
       [27, 31,  0,  0,  0,  0,  0],
       [ 0, 30,  0,  0,  0,  0,  0],
       [ 0, 37,  0,  0,  0,  0,  0]]), 'forgetting_measure': [0.43104593, 0.35706925, -0.020432705]}","{""Task 0 had these additional classes included:"": [""six"", ""stop"", ""three""], ""Task 1 had these additional classes included:"": [""tree"", ""two""], ""Task 2 had these additional classes included:"": [""up"", ""wow""]}"
