Hyperparameters,Results,Classes in task
"{'Name Experiment': 'Learning Blanco with Dense Model; no TEM (DIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x15531a3e8610>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x15531ce27590>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.54084693, 'precision': 0.33664021164021162, 'recall': 0.4611060245376305, 'f1_score': 0.37533280951846447, 'confusion_matrix': array([[ 58,   0,  69,   0,   0],
       [ 34,   0,  93,   0,   0],
       [ 26,   0, 146,   0,   0],
       [ 22,   0,  53,   0,   0],
       [ 28,   0,  71,   0,   0]]), 'forgetting_measure': [0.55638392, 0.13078885, -0.15046844]}","{""Every task  has these classes:"": [""yes"", ""eight"", ""on"", ""no"", ""down""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; with TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e94bd190>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e95c3390>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.55643768, 'precision': 0.5159123585457297, 'recall': 0.40933009309157408, 'f1_score': 0.3194137134087696, 'confusion_matrix': array([[  0, 151,   0,   1,   1],
       [  0, 281,   2,   0,   2],
       [  0, 172,   1,   1,   0],
       [  0, 113,   1,   1,   0],
       [  0, 164,   1,   0,   8]]), 'forgetting_measure': [0.5635663, 0.065301746, -0.07679581]}","{""Every task  has these classes:"": [""cat"", ""yes"", ""dog"", ""off"", ""seven""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; with TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e94bd190>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e95c3390>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.50907303, 'precision': 0.25540540540540541, 'recall': 0.39408284023668637, 'f1_score': 0.28620236530880421, 'confusion_matrix': array([[  0,  66,   0,   0,   1],
       [  0, 164,   1,   0,   4],
       [  0, 131,   0,   0,   0],
       [  0, 118,   0,   0,   2],
       [  0, 113,   0,   0,   0]]), 'forgetting_measure': [0.52114768, 0.025346031, 0.06371824]}","{""Every task  has these classes:"": [""cat"", ""yes"", ""dog"", ""off"", ""seven""]}"
"{'Name Experiment': 'Learning Blanco with GRU Model; no TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e50c5190>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e938a0d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.40947811, 'precision': 0.39846924758181891, 'recall': 0.4151261291717482, 'f1_score': 0.36572297211832093, 'confusion_matrix': array([[ 10, 135,  31,  16,  15],
       [ 17, 148,  33,  10,  10],
       [  5,  99,  41,  10,   3],
       [  7,  94,  50,   5,   6],
       [ 12,  98,  31,   5,   9]]), 'forgetting_measure': [0.44036336, 0.12504569, 0.15474014]}","{""Every task  has these classes:"": [""right"", ""down"", ""bed"", ""four"", ""off""]}"
"{'Name Experiment': 'Learning Blanco with GRU Model; no TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e50c5190>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e938a0d0>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.40857763, 'precision': 0.41430277719095825, 'recall': 0.426129700572785, 'f1_score': 0.35200344350442332, 'confusion_matrix': array([[  5, 101,  20,   3,   0],
       [  3,  92,  21,   4,   0],
       [  1,  89,  36,   7,   0],
       [  1,  56,  47,   6,   0],
       [  4,  75,  25,   4,   0]]), 'forgetting_measure': [0.40829998, -0.028701441, 0.05191431]}","{""Every task  has these classes:"": [""right"", ""down"", ""bed"", ""four"", ""off""]}"
"{'Name Experiment': 'Learning Blanco with GRU Model; with TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552dac8af50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552db533e50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.45246122, 'precision': 0.51310860304886645, 'recall': 0.5085593155106035, 'f1_score': 0.49379175966545024, 'confusion_matrix': array([[ 20,  41,  81,  14,  16],
       [ 13,  52,  76,  22,  20],
       [ 14,  40, 100,  26,  14],
       [ 25,  49,  65,  16,  16],
       [  7,  19,  54,   4,  96]]), 'forgetting_measure': [0.39902427, -0.076619536, -0.60582644]}","{""Every task  has these classes:"": [""wow"", ""tree"", ""cat"", ""no"", ""one""]}"
"{'Name Experiment': 'Learning Blanco with GRU Model; with TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552dac8af50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552db533e50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.41068439, 'precision': 0.39182072356182286, 'recall': 0.39572457244216596, 'f1_score': 0.37647859959977463, 'confusion_matrix': array([[17, 14, 78, 17, 37],
       [16, 11, 49,  4, 20],
       [16, 22, 52,  9, 25],
       [15, 10, 44,  9, 27],
       [13, 19, 40,  8, 28]]), 'forgetting_measure': [0.44301824, 0.20140584, -0.0045807688]}","{""Every task  has these classes:"": [""wow"", ""tree"", ""cat"", ""no"", ""one""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; with TEM (DIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552f3fe5090>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552f4445210>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.59485717, 'precision': 0.61008589336087214, 'recall': 0.49244524382375775, 'f1_score': 0.4903616001198467, 'confusion_matrix': array([[ 43,   0, 134,   1,   2],
       [  5,  14,  78,  11,   7],
       [ 35,   5, 266,   8,  12],
       [  7,   6, 112,  23,   8],
       [ 11,   6,  75,  14,  17]]), 'forgetting_measure': [0.53946905, -0.11491445, -0.23289153]}","{""Every task  has these classes:"": [""cat"", ""stop"", ""go"", ""house"", ""eight""]}"
"{'Name Experiment': 'Learning Blanco with Dense Model; with TEM (DIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552f3fe5090>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552f4445210>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.44959594, 'precision': 0.35839438115006085, 'recall': 0.38601886924382816, 'f1_score': 0.33590175523962653, 'confusion_matrix': array([[ 12,  11,  96,  12,   4],
       [  8,   3,  78,   9,   1],
       [ 22,   7, 119,  14,   2],
       [ 11,   6,  77,   8,   5],
       [ 14,   2,  72,   6,   1]]), 'forgetting_measure': [0.46081544, 0.04189121, 0.047248073]}","{""Every task  has these classes:"": [""cat"", ""stop"", ""go"", ""house"", ""eight""]}"
"{'Name Experiment': 'Learning Blanco with DRNN Model; with TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e435af50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d6b21650>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.4683119, 'precision': 0.53221235962297996, 'recall': 0.49956362057728714, 'f1_score': 0.48594076991469086, 'confusion_matrix': array([[ 66,   5,  62,  26,  23],
       [ 40,  18,  54,  10,  27],
       [ 38,   5, 131,  29,  13],
       [ 32,   5,  95,  38,  16],
       [ 41,   9,  60,  23,  34]]), 'forgetting_measure': [0.462598, 0.17544168, -0.504707]}","{""Every task  has these classes:"": [""five"", ""one"", ""on"", ""nine"", ""dog""]}"
"{'Name Experiment': 'Learning Blanco with DRNN Model; with TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e435af50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d6b21650>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.46038262, 'precision': 0.40074942142355517, 'recall': 0.4142082062013911, 'f1_score': 0.3966893531564513, 'confusion_matrix': array([[52, 15, 44, 11, 20],
       [42,  4, 36,  6, 12],
       [38, 13, 71, 18, 15],
       [26,  4, 46, 11, 17],
       [40,  5, 36,  8, 10]]), 'forgetting_measure': [0.47658185, 0.11947868, -0.07183158]}","{""Every task  has these classes:"": [""five"", ""one"", ""on"", ""nine"", ""dog""]}"
"{'Name Experiment': 'Learning Blanco with DRNN Model; no TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552b2ba2f50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d6f23e50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.42140004, 'precision': 0.388843537414966, 'recall': 0.39791982986558138, 'f1_score': 0.27733530649627993, 'confusion_matrix': array([[186,   2,   3,   1,   0],
       [239,   1,   1,   1,   0],
       [195,   2,   2,   0,   0],
       [145,   0,   4,   1,   0],
       [117,   0,   0,   0,   0]]), 'forgetting_measure': [0.42613302, 0.18607812, -0.3800934]}","{""Every task  has these classes:"": [""tree"", ""dog"", ""sheila"", ""right"", ""go""]}"
"{'Name Experiment': 'Learning Blanco with DRNN Model; no TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552b2ba2f50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d6f23e50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.40187718, 'precision': 0.237, 'recall': 0.4, 'f1_score': 0.26244725738396624, 'confusion_matrix': array([[111,   0,   0,   0,   0],
       [161,   0,   0,   0,   0],
       [109,   0,   0,   0,   0],
       [116,   0,   0,   0,   0],
       [103,   0,   0,   0,   0]]), 'forgetting_measure': [0.4092046, 0.10507545, -0.117412634]}","{""Every task  has these classes:"": [""tree"", ""dog"", ""sheila"", ""right"", ""go""]}"
"{'Name Experiment': 'Learning Blanco with ECHO Model; no TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552cc33af50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552cb8abe50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.41817462, 'precision': 0.24022222222222222, 'recall': 0.4, 'f1_score': 0.2669750231267345, 'confusion_matrix': array([[181,   0,   0,   0,   0],
       [203,   0,   0,   0,   0],
       [208,   0,   0,   0,   0],
       [133,   0,   0,   0,   0],
       [175,   0,   0,   0,   0]]), 'forgetting_measure': [0.41983099, 0.022604207, -0.023126973]}","{""Every task  has these classes:"": [""right"", ""zero"", ""left"", ""seven"", ""up""]}"
"{'Name Experiment': 'Learning Blanco with ECHO Model; no TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552cc33af50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552cb8abe50>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.33609974, 'precision': 0.23133333333333334, 'recall': 0.4, 'f1_score': 0.25417867435158501, 'confusion_matrix': array([[ 94,   0,   0,   0,   0],
       [136,   0,   0,   0,   0],
       [135,   0,   0,   0,   0],
       [139,   0,   0,   0,   0],
       [ 96,   0,   0,   0,   0]]), 'forgetting_measure': [0.33639499, 0.0064941514, -0.006536601]}","{""Every task  has these classes:"": [""right"", ""zero"", ""left"", ""seven"", ""up""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; no TEM (DIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e442dd50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e3ff7610>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.41198991, 'precision': 0.26824890157347253, 'recall': 0.39422400803616274, 'f1_score': 0.28351023834088168, 'confusion_matrix': array([[  0,   0, 148,   0,   7],
       [  0,   0, 159,   1,   8],
       [  1,   2, 210,   0,   7],
       [  0,   3, 167,   0,   6],
       [  1,   0, 175,   2,   3]]), 'forgetting_measure': [0.37822006, -0.22065073, -0.10416605]}","{""Every task  has these classes:"": [""one"", ""zero"", ""sheila"", ""cat"", ""seven""]}"
"{'Name Experiment': 'Learning Blanco with LSTM Model; no TEM (DIL) with 10 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552e442dd50>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552e3ff7610>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': False, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 10, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.38090057, 'precision': 0.24166666666666667, 'recall': 0.4, 'f1_score': 0.26896551724137931, 'confusion_matrix': array([[  0,   0, 125,   0,   0],
       [  0,   0, 123,   0,   0],
       [  0,   0, 125,   0,   0],
       [  0,   0,  89,   0,   0],
       [  0,   0, 138,   0,   0]]), 'forgetting_measure': [0.38677703, 0.09438709, -0.10422454]}","{""Every task  has these classes:"": [""one"", ""zero"", ""sheila"", ""cat"", ""seven""]}"
"{'Name Experiment': 'Learning Blanco with ECHO Model; with TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552d1e2a290>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d23e6510>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.42447364, 'precision': 0.242444444444444444, 'recall': 0.4, 'f1_score': 0.27002749770852429, 'confusion_matrix': array([[191,   0,   0,   0,   0],
       [181,   0,   0,   0,   0],
       [179,   0,   0,   0,   0],
       [208,   0,   0,   0,   0],
       [141,   0,   0,   0,   0]]), 'forgetting_measure': [0.42353439, -0.01260551, 0.012448588]}","{""Every task  has these classes:"": [""go"", ""nine"", ""down"", ""six"", ""eight""]}"
"{'Name Experiment': 'Learning Blanco with ECHO Model; with TEM (DIL) with 50 chunk', 'Optimizer': <keras.src.optimizers.adam.Adam object at 0x1552d1e2a290>, 'Loss function': <keras.src.losses.SparseCategoricalCrossentropy object at 0x1552d23e6510>, 'Number of epochs per task': 300, 'Learning_rate': 5e-05, 'Embedding dimension chunk- and task-embeddings': 100, 'Use a seperate task embedding model': True, 'Initialize task embedding model with zero bias (True), or random bias (False)': True, 'Target network dimension': (416, 832), 'Convolutional layers': [(16, (4, 4), 1), (64, (5, 5), 16), (64, (3, 3), 64), (32, (3, 3), 64)], 'A final trainable soft max layer in the target network?': True, 'Dropout rate in target network': 0.3, ""Number of 'chunks'"": 50, 'Hypernetwork dimension': (200, 250), 'Number (initial) classes': 5, 'Class Incremental Case': (False, 50, 1, (True, 0.9), (10, 0.01), 0.4, 6), 'Testing while training': True, 'L2 regularization strenght': 1e-05, 'Validation accuracy': 300, 'Max attempts when using validation accuracy': 1}","{'accuracy': 0.41175528, 'precision': 0.23966666666666667, 'recall': 0.4, 'f1_score': 0.26620305980528512, 'confusion_matrix': array([[119,   0,   0,   0,   0],
       [136,   0,   0,   0,   0],
       [127,   0,   0,   0,   0],
       [102,   0,   0,   0,   0],
       [116,   0,   0,   0,   0]]), 'forgetting_measure': [0.4113002, -0.006461019, 0.0064195422]}","{""Every task  has these classes:"": [""go"", ""nine"", ""down"", ""six"", ""eight""]}"
